Neighborhood,avgle_male,avgle_female
el Raval,76,85
el Barri Gòtic,79,86
la Barceloneta,77,86
"Sant Pere, Santa Caterina i la Ribera",79,86
el Fort Pienc,81,88
la Sagrada Família,81,87
la Dreta de l'Eixample,80,86
l'Antiga Esquerra de l'Eixample,81,87
la Nova Esquerra de l'Eixample,81,88
Sant Antoni,80,87
el Poble Sec - Parc Montjuïc,80,87
la Marina del Prat Vermell - Zona Franca,80,87
la Marina de Port,81,87
la Font de la Guatlla,80,86
Hostafrancs,79,86
la Bordeta,82,87
Sants - Badal,82,87
Sants,81,87
les Corts,82,88
la Maternitat i Sant Ramon,83,88
Pedralbes,83,88
"Vallvidrera, el Tibidabo i les Planes",79,83
Sarrià,81,87
les Tres Torres,83,88
Sant Gervasi - la Bonanova,82,87
Sant Gervasi - Galvany,82,87
el Putxet i el Farró,82,88
Vallcarca i els Penitents,81,87
el Coll,81,88
la Salut,79,85
la Vila de Gràcia,80,86
el Camp d'en Grassot i Gràcia Nova,81,88
el Baix Guinardó,82,87
Can Baró,80,86
el Guinardó,80,87
la Font d'en Fargues,80,86
el Carmel,79,88
la Teixonera,80,86
Sant Genís dels Agudells,81,86
Montbau,77,84
la Vall d'Hebron,81,87
la Clota,80,87
Horta,80,86
Vilapicina i la Torre Llobeta,80,87
Porta,81,87
el Turó de la Peira,80,88
Can Peguera,74,83
la Guineueta,80,87
Canyelles,79,86
les Roquetes,76,86
Verdun,79,87
la Prosperitat,80,87
la Trinitat Nova,77,85
Torre Baró,73,84
Ciutat Meridiana,79,87
Vallbona,79,85
la Trinitat Vella,80,87
Baró de Viver,76,84
el Bon Pastor,79,86
Sant Andreu,81,88
la Sagrera,82,88
el Congrés i els Indians,80,88
Navas,81,88
el Camp de l'Arpa del Clot,82,88
el Clot,81,88
el Parc i la Llacuna del Poblenou,81,87
la Vila Olímpica del Poblenou,83,88
el Poblenou,79,87
Diagonal Mar i el Front Marítim del Poblenou,81,88
el Besòs i el Maresme,79,86
Provençals del Poblenou,80,87
Sant Martí de Provençals,80,87
 la Verneda i la Pau,81,87
